Store,Name,Banner,Overall,Automotive,Energy Storage,Lighting,Special Order Hardware
013441,Atom Supply Kewdale (Kewdale),-,0.00%,,,0.00%,
014324,Avon Trading Home Hardware (Beverley),-,-1.62%,26.71%,-2.43%,-50.76%,
014563,B & B Hardware (Maddington),-,-6.63%,-100.00%,-1.62%,,
014878,Bakers Hill Rural Supplies & Hardware (Bakers Hill),-,-20.87%,64.42%,-23.58%,,
018218,Boddington Mitre 10 (Boddington),Mitre 10,-10.79%,-10.36%,-13.61%,30.47%,
018416,Bolgart Rural Merchandise (Bolgart),-,-9.19%,-8.96%,-9.19%,,
024018,Cervantes Service Station (Cervantes),-,-100.00%,-100.00%,,,
024596,Christmas Island Metro Supermarket (Christmas Island),-,0.00%,,0.00%,,
024620,Christmas Island Hardware & Spare Parts (Christmas Island),Thrifty,27.02%,-25.35%,66.26%,50.57%,
025205,Cloverdale Hardware (Cloverdale),-,15.21%,50.00%,-71.43%,,
025684,Cocos Island Co-Op (Exad) (West Island Cocos Islands),-,-100.00%,-100.00%,-100.00%,-100.00%,
030122,Darkan Agri Services (Darkan),-,19.80%,-37.65%,25.11%,20.48%,
031294,Dirt N Boondies (Dawesville),-,2.77%,-25.00%,4.65%,,
035634,Exmouth Mitre 10 (Exmouth),Mitre 10,1.68%,-6.34%,2.56%,-1.61%,
036137,Farmways Home Hardware (Kellerberrin),Home,-5.09%,-18.52%,8.68%,18.94%,-562.00%
039487,Gingin Trading Home Hardware (Gingin),Home,0.90%,-19.44%,2.42%,25.55%,
041889,Hancock & Sons Home Timber & Hardware (Narrogin),Home,0.50%,-33.99%,6.83%,4.78%,
045088,Hoppys Parts R Us (Geraldton),-,4.53%,,4.53%,,
047209,JSA Ag (Miling),-,-9.14%,-63.09%,12.25%,-76.68%,
048165,Katanning Stock (Katanning),Thrifty,-39.79%,-68.15%,-35.56%,28.60%,
048256,Kearns Garden & Hardware Supplies (Medina),-,-100.00%,,-100.00%,-100.00%,
050203,Kununurra Home & Garden (Kununurra),Home,66.11%,62.76%,81.53%,26.52%,
055822,Metro Hardware (Balcatta),-,-17.95%,100.00%,-47.64%,,
060947,Mullewa Farm Supplies (Mullewa),Thrifty,-5.11%,-28.09%,11.31%,-56.99%,
061598,Pilbara Mitre 10 (Tom Price),Mitre 10,0.88%,-10.40%,13.36%,-21.36%,
068254,Pingrup Traders (Pingrup),-,23.57%,314.68%,5.09%,31.58%,
076901,Serpentine Rural Supplies (Serpentine),-,8.35%,-69.85%,27.24%,,
081505,Teak Industrial Supplies (Malaga),-,-48.70%,-,-20.87%,-98.99%,
083717,Toodyay Home Timber & Hardware (Toodyay),Home,-0.70%,40.35%,0.04%,-49.42%,
084202,Tropics Home Hardware (Carnarvon),Home,-8.36%,-10.27%,-8.42%,-7.44%,
084848,Two Dogs Mitre 10 (Merredin),Mitre 10,29.76%,38.13%,25.23%,50.78%,
086256,Waroona Mitre 10 (Waroona),Mitre 10,-2.77%,-5.58%,10.41%,-39.61%,
089110,Wongan Hills Mitre 10 (Wongan Hills),Mitre 10,-2.52%,-2.30%,-3.42%,8.51%,
090951,York Mitre 10 (York),Mitre 10,-3.77%,4.87%,-5.41%,0.34%,
100081,Raff Group Mitre 10 (Clifton),Mitre 10,-2.86%,-34.22%,1.65%,27.40%,
100438,Bencubbin Truck N Auto's (Bencubbin),-,45.41%,0.00%,46.74%,,
100586,Karratha Timber & Building Supplies (Karratha),Thrifty,-1.40%,-37.15%,15.33%,-100.00%,
100719,Acres Rural Baralaba Home Hard (In Liq) (Baralaba),Home,-72.86%,-70.90%,-76.49%,-30.76%,
100826,Pemberton General Store (Pemberton),-,5.35%,0.81%,7.98%,-9.25%,
100958,Langs Building Supplies Truss Plant (F&T) (Bells Creek),Home,-55.58%,-100.00%,-51.18%,,
101162,Bourke Home Timber & Hardware (Bourke),Home,-3.05%,-12.02%,3.43%,-35.38%,
101345,Whittlesea H Hardware (Whittlesea),-,-86.55%,0.00%,-100.00%,,
101444,Leichhardt Garden Centre (Goondiwindi),-,38.99%,,38.99%,,
101493,Walgett Home Timber & Hardware (Walgett),Home,14.89%,-13.42%,17.71%,42.98%,
101527,Busselton Building Products (Busselton),-,-19.88%,,-19.88%,,
101659,Kilcoy Rural (Kilcoy),Thrifty,-16.16%,,-22.96%,602.96%,
101782,Newman Home Timber & Hardware (Newman),Home,6.02%,4.36%,5.05%,11.32%,
101832,Blackbutt Hardware (Blackbutt),-,13.71%,,13.71%,,
101873,Dippers Home Timber & Hardware (Moree),Home,6.65%,17.99%,6.87%,-4.30%,
101907,Tea Gardens Home Timber & Hardware (Tea Gardens),Home,-22.88%,-59.18%,-7.72%,-27.58%,
102715,Hoogies Home Timber & Hardware (Yarra Glen),Home,-4.28%,-57.02%,3.04%,-6.71%,
103150,Lyal Eales Stores (Castlemaine),-,3.59%,49.76%,-2.11%,100.00%,
103176,Dublin General Store (Dublin),-,-37.19%,,-37.19%,,
103259,Brown Wigg (Bairnsdale),Home,-67.24%,0.00%,-100.00%,,
103309,Maffra Home Timber & Hardware (Maffra),Home,-1.70%,-0.99%,-3.89%,44.12%,
103440,Clare Plants & Outdoor Centre (Clare),-,-,-,,,
103556,Boggabri Harware & Rural Supplies (Boggabri),-,34.49%,-17.70%,66.70%,-100.00%,
103630,Gubbins Mitre 10 (Moss Vale),Mitre 10,2.78%,-9.98%,9.66%,-19.23%,
103655,Bannockburn Mitre 10 (Bannockburn),Mitre 10,3.52%,13.64%,3.61%,-33.72%,
103705,Town & Country Ag Service (Babinda),-,,,-100.00%,,
103986,Walter Agencies (Lameroo),-,-61.33%,,-61.33%,,
104067,Lavis Mitre 10 (Muswellbrook),Mitre 10,-20.47%,-48.16%,-0.94%,-83.87%,
104141,Barraba Rural Traders Home Hardware (Barraba),Home,7.49%,-34.20%,33.12%,-28.65%,
104158,Tamborine Village Traders (Tamborine),-,9.36%,-,-47.95%,,
104224,Acheson’s Mitre 10 (Forbes),Mitre 10,-27.63%,-43.31%,-23.75%,-59.83%,
