OFFER,Offer Code,Offer Group,Brand,Offer Name,SKU,Description,BaseQty,CartonQty,RRP,Total Unit Cost,Expo Total Cost,Offer Mode,Min Bundle Qty,Allow Line Increase,Selection Rule,Min Selections,Max Selections,Sort Order
ENERGIZER_1,168557,Energizer,Energizer,Tower Pre-Pack,212534,ENERGIZER MAX AA 10PK,1,10,19.80,129.50,64.75,FIXED,1,NO,ALL_REQUIRED,,,
ENERGIZER_1,168557,Energizer,Energizer,Tower Pre-Pack,257084,ENERGIZER MAX AA 8PK,1,12,19.80,146.40,73.20,FIXED,1,NO,ALL_REQUIRED,,,
ENERGIZER_1,168557,Energizer,Energizer,Tower Pre-Pack,824941,ENERGIZER MAX AA 16PK,1,12,28.60,210.12,105.06,FIXED,1,NO,ALL_REQUIRED,,,
ENERGIZER_1,168557,Energizer,Energizer,Tower Pre-Pack,824873,ENERGIZER MAX AAA 14PK,1,12,28.60,203.88,101.94,FIXED,1,NO,ALL_REQUIRED,,,
ENERGIZER_1,168557,Energizer,Energizer,Tower Pre-Pack,296664,ENERGIZER MAX PLUS AA 10PK,1,12,23.40,173.42,86.71,FIXED,1,NO,ALL_REQUIRED,,,
ENERGIZER_1,168557,Energizer,Energizer,Tower Pre-Pack,617645,ENERGIZER MAX PLUS AAA 10PK,1,12,23.40,165.24,82.62,FIXED,1,NO,ALL_REQUIRED,,,

ENERGIZER_2,731790,Energizer,Energizer,Energizer Max + Pre-Pack,296664,ENERGIZER MAX PLUS AA 10PK,4,24,23.40,346.84,208.10,FIXED,1,NO,ALL_REQUIRED,,,
ENERGIZER_2,731790,Energizer,Energizer,Energizer Max + Pre-Pack,617645,ENERGIZER MAX PLUS AAA 10PK,4,24,23.40,330.48,198.29,FIXED,1,NO,ALL_REQUIRED,,,

ENERGIZER_3,212534,Energizer,Energizer,Energizer Max 8s & 10s Loose,212534,ENERGIZER MAX AA 10PK,3,30,19.80,310.80,155.40,FIXED,1,NO,ALL_REQUIRED,,,
ENERGIZER_3,257084,Energizer,Energizer,Energizer Max 8s & 10s Loose,257084,ENERGIZER MAX AAA 8PK,2,24,19.80,292.80,146.40,FIXED,1,NO,ALL_REQUIRED,,,

ENERGIZER_4,555796,Energizer,Energizer,Energizer Specialty Range Loose,555796,ENERGIZER BATT ULT LITH2032-2P,1,12,13.10,72.68,50.88,SPLIT,1,YES,ALL_REQUIRED,,,
ENERGIZER_4,556205,Energizer,Energizer,Energizer Specialty Range Loose,556205,ENERGIZER BATT ULT LITH2025-2P,1,12,13.10,72.68,50.88,SPLIT,1,YES,ALL_REQUIRED,,,
ENERGIZER_4,555424,Energizer,Energizer,Energizer Specialty Range Loose,555424,ENERGIZER BATT LITH 2016 3V-2P,1,12,10.85,49.32,34.52,SPLIT,1,YES,ALL_REQUIRED,,,
ENERGIZER_4,221826,Energizer,Energizer,Energizer Specialty Range Loose,221826,ENERGIZER REMTE BAT 12V A23 2P,1,12,8.00,39.06,27.34,SPLIT,1,YES,ALL_REQUIRED,,,
ENERGIZER_4,555518,Energizer,Energizer,Energizer Specialty Range Loose,555518,ENERGIZER BATT CALC A76 2PK,1,12,8.20,27.48,19.24,SPLIT,1,YES,ALL_REQUIRED,,,

EVEREADY_1,617645,Eveready,Eveready,Tower Pre-Pack,647679,EVEREADY BLACK AA 24PK,1,1,21.50,250.20,125.10,FIXED,1,NO,ALL_REQUIRED,,,
EVEREADY_1,617645,Eveready,Eveready,Tower Pre-Pack,751282,EVEREADY BLACK AAA 24PK,1,1,21.50,247.86,123.93,FIXED,1,NO,ALL_REQUIRED,,,
EVEREADY_1,617645,Eveready,Eveready,Tower Pre-Pack,532379,EVEREADY GOLD AAA 8PK,1,1,16.20,147.30,73.65,FIXED,1,NO,ALL_REQUIRED,,,
EVEREADY_1,617645,Eveready,Eveready,Tower Pre-Pack,532308,EVEREADY GOLD AA 8PK,1,1,16.20,156.12,78.06,FIXED,1,NO,ALL_REQUIRED,,,
EVEREADY_1,617645,Eveready,Eveready,Tower Pre-Pack,647750,EVEREADY GOLD AAA 16PK,1,1,24.10,183.45,91.73,FIXED,1,NO,ALL_REQUIRED,,,
EVEREADY_1,617645,Eveready,Eveready,Tower Pre-Pack,532230,EVEREADY GOLD AA 16PK,1,1,24.10,183.45,91.73,FIXED,1,NO,ALL_REQUIRED,,,

ARMORALL_1,314792,ArmorAll,ArmorAll,Express Clean Gift Pack,MULTI,ARMORALL Car Wash GIFT PACK,1,4,29.99,39.86,70.48,FIXED,1,NO,ALL_REQUIRED,,,

ARMORALL_2,,ArmorAll,ArmorAll,ArmorAll Range Loose,469466,ARMOR ALL A/FRESH NEW CAR2.5ML,1,6,11.00,25.46,12.73,SPLIT,1,YES,ALL_REQUIRED,,,
ARMORALL_2,,ArmorAll,ArmorAll,ArmorAll Range Loose,222136,ARMOR ALL A/FRESH CARD FRANG,1,24,4.60,53.28,26.64,SPLIT,1,YES,ALL_REQUIRED,,,
ARMORALL_2,,ArmorAll,ArmorAll,ArmorAll Range Loose,285804,ARMOR ALL WASH WINDSCREN 500ML,1,4,8.50,16.41,8.21,SPLIT,1,YES,ALL_REQUIRED,,,
ARMORALL_2,,ArmorAll,ArmorAll,ArmorAll Range Loose,657954,ARMOR ALL PROTECTANT 300ML,1,6,16.50,49.76,24.88,SPLIT,1,YES,ALL_REQUIRED,,,
ARMORALL_2,,ArmorAll,ArmorAll,ArmorAll Range Loose,657962,ARMOR ALL WIPES CLEAN 30PK,1,4,18.00,41.41,20.71,SPLIT,1,YES,ALL_REQUIRED,,,
