Storeid,StoreName,State,Date,VALUE,Energizer Tower Pre-Pack,Eveready Tower Pre-Pack ,Energizer Max Plus 10's Penta,Energizer Max 14/16 Loose Stock,Energizer Max 24pk Loose Stock,Energizer Specialty Range Loose,Armor All®  Range Loose,Armor All® Quick Clean Kit ,Jelly Belly® Range Loose Stock Deal,Eveready Lighting Tower,Energizer Tower Pre-Pack,Eveready Tower Pre-Pack ,Energizer Max Plus 10's Penta,Energizer Max 14/16 Loose Stock,Energizer Max 24pk Loose Stock,Energizer Specialty Range Loose,Armor All®  Range Loose,Armor All® Quick Clean Kit ,Jelly Belly® Range Loose Stock Deal,Eveready Lighting Tower
183120,SUPERMART FRESHWATER (KARELLAS) 147349,NSW,10/4/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15892,IGA BRAIDWOOD 633108,NSW,28/5/2025,332.3661168,0,0,0,0,0,121.33,0,141.76,65.07,0,0,0,0,0,0,1,0,2,1.206116775,0
193069,IGA GOOGONG 61089729,NSW,29/5/2025,1035.895117,500.36,568.53,0,454.23,0,121.33,229.89,70.88,65.07,86.289,1,1,0,1,0,1,1,1,1.206116775,1
577,IGA HARRISONS HAY 295634,NSW,3/6/2025,355.22,500.36,568.53,0,0,0,121.33,229.89,0,0,0,1,1,0,0,0,1,1,0,0,0
13949,IGA ROUSE HILL (CHRISS)  84630,NSW,11/6/2025,2,500.36,568.53,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6818,FRIENDLY GROCER SOUTH PENRITH,NSW,12/6/2025,264.569,0,0,0,0,0,121.33,0,0,53.95,86.289,0,0,0,0,0,1,0,0,1,1
123650,FOODWORKS REDFERN 163222,NSW,17/6/2025,330.66,0,0,329.66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
126137,IGA LOCAL GROCER NORTH EPPING,NSW,18/6/2025,122.33,0,0,0,0,0,121.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53172,IGA ALEXANDRIA 224395,NSW,19/6/2025,2,500.36,568.53,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
46248,IGA LAWSON 88595,NSW,23/6/2025,384.67,0,0,329.66,0,53.01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7272,IGA WAGGA ON BOURKE ST 116241,NSW,23/6/2025,645.8361168,500.36,568.53,0,454.23,0,121.33,0,0,65.07,0,1,1,0,1,0,1,0,0,1.206116775,0
53363,IGA MEADOWBANK 199396,NSW,24/6/2025,2,500.36,568.53,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
39345,IGA BRADBURY 227301,NSW,25/6/2025,415.8330584,500.36,568.53,0,0,0,121.33,229.89,0,59.51,0,1,1,0,0,0,1,1,0,1.103058387,0
46686,IGA LOCAL GROCER BELLAMBI,NSW,26/6/2025,132.4930584,0,0,0,0,0,0,0,70.88,59.51,0,0,0,0,0,0,0,0,1,1.103058387,0
13992,FOODWORKS MULWALA 961870,NSW,26/6/2025,687.279,500.36,0,0,454.23,0,0,0,141.76,0,86.289,1,0,0,1,0,0,0,2,0,1
19138,IGA EAST GOSFORD (MALWA) 103230,NSW,27/6/2025,123.33,500.36,0,0,0,0,121.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21433,FOODWORKS KELSO,NSW,27/6/2025,122.33,0,0,0,0,0,121.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14216,FWKS WALLERAWANG,NSW,27/6/2025,1,500.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13438,IGA BEXLEY 133560,NSW,30/6/2025,124.33,500.36,568.53,0,0,0,121.33,0,0,0,0,1,1,0,0,0,1,0,0,0,0
22029,IGA BATHURST WEST POINT 163010,NSW,30/6/2025,122.33,0,0,0,0,0,121.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0
227927,IGA LOCAL GROCER KINCUMBER 113007,NSW,30/6/2025,123.33,500.36,0,0,0,0,121.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21039,IGA ARNCLIFFE  14601,NSW,30/6/2025,123.33,500.36,0,0,0,0,121.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0
84565,IGA LILLYFIEILD 148743,NSW,1/7/2025,266.34076,0,0,0,0,0,121.33,0,0,141.39,0,0,0,0,0,0,1,0,0,2.620759963,0
8953,IGA PUTNEY  21632,NSW,1/7/2025,303.0469804,1000.72,0,0,0,0,242.66,0,0,0,55.741,2,0,0,0,0,2,0,0,0,0.645980368
8513,IGA LOCAL GROCER GLEBE 228909,NSW,2/7/2025,122.33,0,0,0,0,0,121.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24058,SUPA IGA MERRYLANDS 199914,NSW,3/7/2025,457.23,500.36,568.53,0,454.23,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
52542,FOODWORKS ST CLAIR 186490,NSW,4/7/2025,408.17,0,0,0,0,0,121.33,229.89,0,53.95,0,0,0,0,0,0,1,1,0,1,0
98499,IGA BUNDEENA  179443,NSW,8/7/2025,280.2526537,500.36,568.53,0,0,0,121.33,0,70.88,65.07,17.563,1,1,0,0,0,1,0,1,1.206116775,0.203536951
11479,FRIENDLY GROCER GLEBE,NSW,8/7/2025,122.33,0,0,0,0,0,121.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20446,IGA LOCAL GROCER TURRAMURRA EASTERN ROAD 161254,NSW,8/7/2025,355.22,500.36,568.53,0,0,0,121.33,229.89,0,0,0,1,1,0,0,0,1,1,0,0,0
43679,FOODWORKS OAK FLATS,NSW,9/7/2025,196.21,1000.72,0,0,0,0,121.33,0,70.88,0,0,2,0,0,0,0,1,0,1,0,0
11876,IGA HUNTERS HILL 131534,NSW,11/7/2025,123.33,500.36,0,0,0,0,121.33,0,0,0,0,1,0,0,0,0,1,0,0,0,0
85523,IGA AUGUSTINE HEIGH 153578,QLD,12/5/2025,88.289,500.36,0,0,0,0,0,0,0,0,86.289,1,0,0,0,0,0,0,0,0,1
17172,FRIENDLY GROCER SCARBOROUGH BEACH,QLD,21/5/2025,282.499,500.36,0,0,0,0,121.33,0,70.88,0,86.289,1,0,0,0,0,1,0,1,0,1
32938,IGA LOCAL GROCER STRATHPINE,QLD,23/5/2025,633.9469804,0,0,0,454.23,0,121.33,0,0,0,55.741,0,0,0,1,0,1,0,0,0,0.645980368
20885,SUPA IGA BLI BLI (WHITE) 993423,QLD,30/5/2025,1033.79,500.36,0,0,908.46,0,121.33,0,0,0,0,1,0,0,2,0,1,0,0,0,0
20885,SUPA IGA BLI BLI (WHITE) 993423,QLD,30/5/2025,66.27611677,0,0,0,0,0,0,0,0,65.07,0,0,0,0,0,0,0,0,0,1.206116775,0
83101,IGA PEREGIAN BEACH (WHITE) 93867,QLD,3/6/2025,591.4848951,500.36,568.53,0,454.23,0,0,0,0,65.07,67.2,1,1,0,1,0,0,0,0,1.206116775,0.778778292
211225,IGA FOREST GLEN (WHITE) 146301,QLD,3/6/2025,380.9148951,500.36,568.53,0,0,0,242.66,0,0,65.07,67.2,1,1,0,0,0,2,0,0,1.206116775,0.778778292
84996,IGA JINDALEE  124210,QLD,4/6/2025,123.33,0,568.53,0,0,0,121.33,0,0,0,0,0,1,0,0,0,1,0,0,0,0
52531,IGA BELLVISTA  93710,QLD,10/6/2025,633.9469804,0,0,0,454.23,0,121.33,0,0,0,55.741,0,0,0,1,0,1,0,0,0,0.645980368
12092,IGA MOOLOOLAH (WHITE) 119964,QLD,12/6/2025,456.23,500.36,0,0,454.23,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2863,IGA LOCAL GROCER TINGALPA 143434,QLD,19/6/2025,423.4276645,0,0,0,0,0,121.33,229.89,0,68.93,0,0,0,0,0,0,1,1,0,1.277664504,0
