Storeid,StoreName,State,ENERGIZER_1_sales,ENERGIZER_1 suggest,ENERGIZER_2_sales,ENERGIZER_2 suggest,ENERGIZER_3_sales,ENERGIZER_3 suggest,ENERGIZER_4_sales,ENERGIZER_4 suggest,EVEREADY_1_sales,EVEREADY_1_suggest,ARMORALL_1_sales,ARMORALL_1_suggest,ARMORALL_2_sales,ARMORALL_2_suggest,JELLYBELLY_1_sales,JELLYBELLY_1_suggest,TORCH_1_sales,TORCH_1_suggest
183120,SUPERMART FRESHWATER (KARELLAS) 147349,NSW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15892,IGA BRAIDWOOD 633108,NSW,0,1,0,0,0,0,1,1,0,0,2,2,0,0,2,2,0,0
193069,IGA GOOGONG 61089729,NSW,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1
577,IGA HARRISONS HAY 295634,NSW,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0
13949,IGA ROUSE HILL (CHRISS)  84630,NSW,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6818,FRIENDLY GROCER SOUTH PENRITH,NSW,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
123650,FOODWORKS REDFERN 163222,NSW,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126137,IGA LOCAL GROCER NORTH EPPING,NSW,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
53172,IGA ALEXANDRIA 224395,NSW,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
46248,IGA LAWSON 88595,NSW,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7272,IGA WAGGA ON BOURKE ST 116241,NSW,1,1,0,0,1,1,1,1,1,1,0,0,0,0,2,2,0,0
53363,IGA MEADOWBANK 199396,NSW,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
39345,IGA BRADBURY 227301,NSW,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,0,0
46686,IGA LOCAL GROCER BELLAMBI,NSW,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0
13992,FOODWORKS MULWALA 961870,NSW,1,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1
19138,IGA EAST GOSFORD (MALWA) 103230,NSW,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
21433,FOODWORKS KELSO,NSW,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14216,FWKS WALLERAWANG,NSW,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13438,IGA BEXLEY 133560,NSW,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
22029,IGA BATHURST WEST POINT 163010,NSW,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
227927,IGA LOCAL GROCER KINCUMBER 113007,NSW,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
21039,IGA ARNCLIFFE  14601,NSW,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
84565,IGA LILLYFIEILD 148743,NSW,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0
8953,IGA PUTNEY  21632,NSW,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1
8513,IGA LOCAL GROCER GLEBE 228909,NSW,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24058,SUPA IGA MERRYLANDS 199914,NSW,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
52542,FOODWORKS ST CLAIR 186490,NSW,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
98499,IGA BUNDEENA  179443,NSW,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,1,1
11479,FRIENDLY GROCER GLEBE,NSW,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20446,IGA LOCAL GROCER TURRAMURRA EASTERN ROAD 161254,NSW,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0
43679,FOODWORKS OAK FLATS,NSW,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
11876,IGA HUNTERS HILL 131534,NSW,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
85523,IGA AUGUSTINE HEIGH 153578,QLD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17172,FRIENDLY GROCER SCARBOROUGH BEACH,QLD,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
32938,IGA LOCAL GROCER STRATHPINE,QLD,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
20885,SUPA IGA BLI BLI (WHITE) 993423,QLD,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
20885,SUPA IGA BLI BLI (WHITE) 993423,QLD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
83101,IGA PEREGIAN BEACH (WHITE) 93867,QLD,1,1,0,0,1,1,0,0,1,1,0,0,0,0,2,2,1,1
211225,IGA FOREST GLEN (WHITE) 146301,QLD,1,1,0,0,0,0,2,2,1,1,0,0,0,0,2,2,1,1
84996,IGA JINDALEE  124210,QLD,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
52531,IGA BELLVISTA  93710,QLD,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
12092,IGA MOOLOOLAH (WHITE) 119964,QLD,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2863,IGA LOCAL GROCER TINGALPA 143434,QLD,0,1,0,0,0,0,1,1,0,0,0,0,1,1,2,2,0,0
12010,IGA FRESH ST MARKET ATHERTON 137093,QLD,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
192964,SUPA IGA BARINGA (WHITE) 123353,QLD,0,1,1,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0
18874,IGA SANDSTONE POINT  120240,QLD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21103,IGA MT COOLUM (WHITE) 138146,QLD,2,1,1,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0
38692,IGA POMONA (ZIPFS)  131843,QLD,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
48386,IGA WALLOON (MOMAN)  141270,QLD,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1640,FOODLAND MINLATON  842070,SA,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
122167,FOODLAND KAPUNDA 844300,SA,2,1,0,0,0,0,2,2,2,2,0,0,1,1,2,2,1,1
9798,IGA KEITH  82226,SA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17395,FOODLAND NARACOORTE (TIM)  82471,SA,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
21292,FOODLAND KINGSTON (EUDUNDA FARMERS)  2117,SA,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
237841,FOODLAND FREELING 846710,SA,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
32490,FOODLAND WEST LAKES  1252,SA,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
53195,FOODLAND HENLEY BEACH (CHAPLEYS)  83565,SA,2,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5924,FOODLAND NORWOOD (CHAPLEYS)  78406,SA,5,1,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0
21130,FOODLAND PASADENA (CHAPLEYS) 78365,SA,3,1,18,18,9,9,3,3,4,4,5,5,0,0,0,0,1,1
32468,FOODLAND FREWVILLE (CHAPLEYS) 77337,SA,3,1,20,20,9,9,3,3,3,3,2,2,0,0,0,0,1,1
4615,FOODLAND BALAKLAVA  1409,SA,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
30486,IGA PERTH,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
30467,HILL STREET IGA - LONGFORD,TAS,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
30581,IGA WESTBURY,TAS,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
30387,IGA BEACONSFIELD,TAS,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
30459,IGA XPRESS BEACONSFIELD,TAS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30736,IGA SUPA PROSPECT,TAS,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0
30374,IGA SUPA SHEARWATER,TAS,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30176,IGA SUPA SPREYTON,TAS,7,1,0,0,0,0,4,4,6,6,0,0,0,0,3,3,0,0
30366,IGA PENGUIN,TAS,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0
30802,IGA BURNIE,TAS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
30834,IGA SOMERSET,TAS,2,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0
30388,IGA SHEFFIELD,TAS,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
30658,IGA XPRESS PENGUIN,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30818,IGA YOUNGTOWN,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0
30365,IGA BICHENO,TAS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30355,IGA TRIABUNNA,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30262,IGA ORFORD,TAS,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
30538,IGA EVERDAY NUBEENA,TAS,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30263,IGA ULVERSTONE,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30286,IGA XPRESS BRANXHOLM,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30362,IGA DOVER,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30382,IGA OATLANDS ROXY,TAS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
