Store,Storeid,Suburb,State,Postcode,RANK,Banner,Group,,,,,,,,,,,
IGA M AINSLIE,19569,AINSLIE,ACT,2602,306,IGA Medium,,,,,,,,,,,,
SUPABARN BANKS,22293,BANKS,ACT,2906,1225,Independents Other,,,,,,,,,,,,
FRIENDLY GROCER BRUCE (UNI CANB),112515,BRUCE,ACT,2617,2031,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER BRUCE PLUS CBN,265765,BRUCE,ACT,2617,1182,IGA Local Grocer,JIM GILL,,,,,,,,,,,
SUPABARN CAMPBELL,2198,CAMPBELL,ACT,2612,1076,Independents Other,-,,,,,,,,,,,
CAMPUS & CO CANBERRA (FWKS),248325,CANBERRA,ACT,2600,2214,Foodworks,,,,,,,,,,,,
FGRC EAST ROW,40591,CANBERRA,ACT,2600,2159,Friendly Grocer,OSMAN,,,,,,,,,,,
SUPABARN CASEY,112481,CASEY,ACT,2913,29,Independents Other,SUPABARN GROUP,,,,,,,,,,,
SUPABARN CHAPMAN,21965,CHAPMAN,ACT,2611,1061,Independents Other,-,,,,,,,,,,,
FRIENDLY GROCER COOK PLUS LOCAL LIQUOR,18731,COOK,ACT,2614,1508,Friendly Grocer,,,,,,,,,,,,
CRACE,95505,CRACE,ACT,2911,438,Independents Other,SUPABARN GROUP,,,,,,,,,,,
SUPABARN DEAKIN,21390,DEAKIN,ACT,2600,945,Independents Other,KARKAZIS,,,,,,,,,,,
IGA LOCAL GROCER DICKSON PLUS LIQUOR,82738,DICKSON,ACT,2602,2136,IGA Local Grocer,JIM GILL,,,,,,,,,,,
IGA M EVATT,21312,EVATT,ACT,2617,953,IGA Medium,GAO,,,,,,,,,,,
IGA LOCAL GROCER FARRER,53313,FARRER,ACT,2607,1668,IGA Local Grocer,,,,,,,,,,,,
SUPABARN EXPRESS FLOREY,21438,FLOREY,ACT,2615,648,Independents Other,-,,,,,,,,,,,
FWKS FORDE,53409,FORDE,ACT,2914,1956,Foodworks,,,,,,,,,,,,
FRIENDLY GROCER GARRAN,21170,GARRAN,ACT,2605,1346,Friendly Grocer,,,,,,,,,,,,
IGA M GIRALANG + CBN,265775,GIRALANG,ACT,2617,1682,IGA Medium,JIM GILL,,,,,,,,,,,
IGA LOCAL GROCER HACKETT PLUS LIQUOR,32650,HACKETT,ACT,2602,1054,IGA Medium,B & K BHINDER,,,,,,,,,,,
FOODWORKS HOLDER PLUS LOCAL LIQUOR,39365,HOLDER,ACT,2611,1977,Foodworks,,,,,,,,,,,,
IGA LOCAL GROCER HOLT,20873,HOLT,ACT,2615,1436,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER HUGHES,22066,HUGHES,ACT,2605,1628,Friendly Grocer,MAKAS,,,,,,,,,,,
SUPABARN ISABELLA PLAINS,18997,ISABELLA PLAINS,ACT,2905,1234,Independents Other,,,,,,,,,,,,
SUPABARN EXPRESS KALEEN,22005,KALEEN,ACT,2617,918,Independents Other,-,,,,,,,,,,,
IGA LOCAL GROCER DRAKEFORD,92811,KAMBAH,ACT,2902,1364,IGA Local Grocer,,,,,,,,,,,,
SUPABARN KINGSTON,84832,KINGSTON,ACT,2604,40,Independents Other,SUPABARN GROUP,,,,,,,,,,,
SUPABARN LYNEHAM,22036,LYNEHAM,ACT,2602,764,Independents Other,KRNC,,,,,,,,,,,
FGRC 4SQ LYONS,21668,LYONS,ACT,2606,1359,Friendly Grocer,,,,,,,,,,,,
CAMPUS & CO MACARTHUR (FWKS),227761,MACARTHUR,ACT,2904,2102,Foodworks,,,,,,,,,,,,
MELBA FGRC,32866,MELBA,ACT,2615,1492,Friendly Grocer,-,,,,,,,,,,,
FRIENDLY GROCER NARRABUNDAH PLUS LOCAL LIQUOR,16216,NARRABUNDAH,ACT,2604,1614,Friendly Grocer,MAKAS,,,,,,,,,,,
IGA LOCAL GROCER NGUNNAWAL,32400,NGUNNAWAL,ACT,2913,1463,IGA Local Grocer,,,,,,,,,,,,
IGA LOCAL GROCER NICHOLLS,19244,NICHOLLS,ACT,2913,1334,IGA Local Grocer,GAO,,,,,,,,,,,
SUPABARN O'CONNOR,11417,O'CONNOR,ACT,2602,982,Independents Other,-,,,,,,,,,,,
IGA LOCAL GROCER PALMERSTON,20876,PALMERSTON,ACT,2913,1571,IGA Local Grocer,,,,,,,,,,,,
FRIENDLY GROCER SPENCE,21184,SPENCE,ACT,2615,1612,Friendly Grocer,,,,,,,,,,,,
FGRC SWINGER HILL,33299,SWINGER HILL,ACT,2606,1814,Friendly Grocer,-,,,,,,,,,,,
FGRC THEODORE,87442,THEODORE,ACT,2905,1997,Friendly Grocer,,,,,,,,,,,,
IGA LOCAL GROCER WARAMANGA,22027,WARAMANGA,ACT,2611,1474,IGA Local Grocer,,,,,,,,,,,,
SUPABARN EXPRESS WATSON,1528,WATSON,ACT,2602,719,Independents Other,-,,,,,,,,,,,
SUPABARN YARRALUMLA,8330,YARRALUMLA,ACT,2600,1163,Independents Other,KARKAZIS,,,,,,,,,,,
FGRC ABBOTSBURY,80833,ABBOTSBURY,NSW,2176,1937,Friendly Grocer,,,,,,,,,,,,
IGA M ABBOTSFORD,46022,ABBOTSFORD,NSW,2046,509,IGA Medium,QIN GROUP,,,,,,,,,,,
FOODWORKS ABERDEEN,15385,ABERDEEN,NSW,2336,1457,Foodworks,,,,,,,,,,,,
ADAMINABY STORE (FOODWORKS ASSOC),81964,ADAMINABY,NSW,2629,1964,Foodworks,,,,,,,,,,,,
FOODWORKS ADAMSTOWN,8838,ADAMSTOWN,NSW,2289,1510,Foodworks,RANDY PANNU,,,,,,,,,,,
FWKS ADELONG,66374,ADELONG,NSW,2729,1617,Foodworks,,,,,,,,,,,,
FGRC NEWBROOK,32637,AIRDS,NSW,2560,2017,Friendly Grocer,-,,,,,,,,,,,
APCO ALBURY VILLAGE GROCER,33297,ALBURY,NSW,2640,1202,Independents Other,APCO,,,,,,,,,,,
CAMPUS & CO ALBURY FWKS,270321,ALBURY,NSW,2640,2148,Foodworks,,,,,,,,,,,,
